,title,views, data_time,video_link,thumbnail_link
55,GfG 160 | Day - 6 | Majority Element II | 160 Days Daily DSA Problem Solving | GeeksforGeeks,1K views,1 month ago,https://www.youtube.com/watch?v=6Mfyfn1_4BY,https://i.ytimg.com/vi/6Mfyfn1_4BY/hqdefault.jpg
56,GfG 160 | Day - 5 | Next Permutation | 160 Days Daily DSA Problem Solving | GeeksforGeeks,1.4K views,1 month ago,https://www.youtube.com/watch?v=GQdOXQKdtQM,https://i.ytimg.com/vi/GQdOXQKdtQM/hqdefault.jpg
57,GfG 160 | Day - 4 | Rotate an Array | 160 Days Daily DSA Problem Solving | GeeksforGeeks,1.6K views,1 month ago,https://www.youtube.com/watch?v=5KzhdiOePOU,https://i.ytimg.com/vi/5KzhdiOePOU/hqdefault.jpg
58,GfG 160 | Day - 3 | Reverse an Array | 160 Days Daily DSA Problem Solving | GeeksforGeeks,1.5K views,1 month ago,https://www.youtube.com/watch?v=gGtmacuQu-k,https://i.ytimg.com/vi/gGtmacuQu-k/hqdefault.jpg
59,Use AI Before it Uses you!! | Become a 10x Coder,1.3K views,1 month ago,https://www.youtube.com/watch?v=tXU3YRu23kU,https://i.ytimg.com/vi/tXU3YRu23kU/hqdefault.jpg
60,GfG 160 | Day - 2 | Move all Zeros to End | 160 Days Daily DSA Problem Solving | GeeksforGeeks,2K views,1 month ago,https://www.youtube.com/watch?v=Q2ynXrtGN8Y,https://i.ytimg.com/vi/Q2ynXrtGN8Y/hqdefault.jpg
61,GfG 160 | Day - 1 | Second Largest Element | 160 Days Daily DSA Problem Solving | GeeksforGeeks,4.9K views,1 month ago,https://www.youtube.com/watch?v=JoNs4m0QCig,https://i.ytimg.com/vi/JoNs4m0QCig/hqdefault.jpg
62,GfG 160 | 160 Days Daily DSA Problem Solving | GeeksforGeeks,7.7K views,1 month ago,https://www.youtube.com/watch?v=puDKP5_0Ol4,https://i.ytimg.com/vi/puDKP5_0Ol4/hqdefault.jpg
63,"From Tier 3 College to Qualcomm as a Software Developer | Resume , Mistakes , Projects , Interview",1K views,1 month ago,https://www.youtube.com/watch?v=1TnVdzwbzJo,https://i.ytimg.com/vi/1TnVdzwbzJo/hqdefault.jpg
64,Why you will not get placed? | Save yourself Now,2.1K views,1 month ago,https://www.youtube.com/watch?v=b-6rmk233DU,https://i.ytimg.com/vi/b-6rmk233DU/hqdefault.jpg
65,Y.O.G.I. | Your Own GeeksforGeeks Intelligence | Access to 7+ Features with GeeksforGeeks Premium,2.9K views,1 month ago,https://www.youtube.com/watch?v=rfyhmQYEJKE,https://i.ytimg.com/vi/rfyhmQYEJKE/hqdefault.jpg
66,"GeeksforGeeks Offline Classes- Visit for Free Counselling | Now in Delhi/NCR, Bengaluru, Pune",501K views,1 month ago,https://www.youtube.com/watch?v=hDfjzq9m5vI,https://i.ytimg.com/vi/hDfjzq9m5vI/hqdefault.jpg
67,Get Placed and make the Biggest Comeback of your Life | The Ultimate Roadmap,4.1K views,1 month ago,https://www.youtube.com/watch?v=A7_iaBNOxSU,https://i.ytimg.com/vi/A7_iaBNOxSU/hqdefault.jpg
68,Get a Job as a Data Analyst before 2025 starts | *Free Resources Inside* | Complete Roadmap,3.4K views,2 months ago,https://www.youtube.com/watch?v=FyHidTTNXJ8,https://i.ytimg.com/vi/FyHidTTNXJ8/hqdefault.jpg
69,How I would learn to code (if i could start over) | 18 LPA+ Package,2K views,2 months ago,https://www.youtube.com/watch?v=Bq4TH-OhqY0,https://i.ytimg.com/vi/Bq4TH-OhqY0/hqdefault.jpg
70,Go Ad Free with GeeksforGeeks Premium | 0 Ads in all GeeksforGeeks Content | 100% Distraction free,3.7K views,2 months ago,https://www.youtube.com/watch?v=DoXFPztXGyM,https://i.ytimg.com/vi/DoXFPztXGyM/hqdefault.jpg
71,"35+ Courses only with GeeksforGeeks Premium | DSA, Languages, Front-end, App Development & more!",57K views,2 months ago,https://www.youtube.com/watch?v=UvNQUwuN9Ss,https://i.ytimg.com/vi/UvNQUwuN9Ss/hqdefault.jpg
72,GeeksforGeeks Premium | Explore All Features | Choose your Plan starting from INR 749,8.7K views,2 months ago,https://www.youtube.com/watch?v=kBN7AZ0MRgI,https://i.ytimg.com/vi/kBN7AZ0MRgI/hqdefault.jpg
73,From Tier 3 College to working as a Senior SDE with 400% HIKE | Dream Job Diaries Podcast EP-2,1.4K views,2 months ago,https://www.youtube.com/watch?v=lWrzQFqgTcY,https://i.ytimg.com/vi/lWrzQFqgTcY/hqdefault.jpg
74,Crack any companies Aptitude round with this Strategy | *Free Resources Inside*,3.6K views,2 months ago,https://www.youtube.com/watch?v=loPvFZXUcNw,https://i.ytimg.com/vi/loPvFZXUcNw/hqdefault.jpg
75,Crack Off-Campus Placement before 2025 with this Strategy,4.2K views,2 months ago,https://www.youtube.com/watch?v=rQs1n2ERSvk,https://i.ytimg.com/vi/rQs1n2ERSvk/hqdefault.jpg
76,"GeeksforGeeks Premium | 35+ Courses, Ad-Free Learning, A.I. Bot, Text Summarisation & more",57K views,2 months ago,https://www.youtube.com/watch?v=P_ZxK9dTyeA,https://i.ytimg.com/vi/P_ZxK9dTyeA/hqdefault.jpg
77,Master Competitive Programming with this RoadMap | *Free Resources Inside*,5.3K views,2 months ago,https://www.youtube.com/watch?v=lozDmn15zcw,https://i.ytimg.com/vi/lozDmn15zcw/hqdefault.jpg
78,These Projects give you an UNFAIR ADVANTAGE | Get Placed in 2024,5.9K views,2 months ago,https://www.youtube.com/watch?v=KY73lTNeWzI,https://i.ytimg.com/vi/KY73lTNeWzI/hqdefault.jpg
79,"I went to the House of a Google Project Manager | Life at Google |Project Management Roadmap, Salary",329K views,3 months ago,https://www.youtube.com/watch?v=cC8MjoYGedk,https://i.ytimg.com/vi/cC8MjoYGedk/hqdefault.jpg
80,Is the Tech Recession finally over? | Massive Tech Layoffs & Recession | How to get a job in 2024?,5.2K views,3 months ago,https://www.youtube.com/watch?v=wolOoIsBnew,https://i.ytimg.com/vi/wolOoIsBnew/hqdefault.jpg
81,Master Software Testing & Automation | Career in Testing | GeeksforGeeks,992 views,3 months ago,https://www.youtube.com/watch?v=b3uovZLWkVM,https://i.ytimg.com/vi/b3uovZLWkVM/hqdefault.jpg
82,🚀 Please Watch this Video if you are a College Student | Get Placed in 2024,2.5K views,3 months ago,https://www.youtube.com/watch?v=9Fx3wGat0Fg,https://i.ytimg.com/vi/9Fx3wGat0Fg/hqdefault.jpg
83,Python Fundamentals and its Applications with GeeksforGeeks,3.4K views,3 months ago,https://www.youtube.com/watch?v=qzyTwGpDYog,https://i.ytimg.com/vi/qzyTwGpDYog/hqdefault.jpg
84,(Not Clickbait) Learn Recursion in just 300 seconds 😮 | DSA Made Simple,1.5K views,3 months ago,https://www.youtube.com/watch?v=Bi_rfJLf-jA,https://i.ytimg.com/vi/Bi_rfJLf-jA/hqdefault.jpg
85,From Tier 3 College to 20LPA Package 🤑 at Harman as a Senior Software Engineer | My Journey,5.4K views,3 months ago,https://www.youtube.com/watch?v=cGPpUdaISGE,https://i.ytimg.com/vi/cGPpUdaISGE/hqdefault.jpg
86,How I Built an AirBnb Clone from Scratch | MERN Stack Project | GeeksforGeeks,5.4K views,3 months ago,https://www.youtube.com/watch?v=koTBLYNq63I,https://i.ytimg.com/vi/koTBLYNq63I/hqdefault.jpg
87,"Master Web3 in 2024 (The Ultimate Roadmap) | Block Chain, Crypto Currency |",1.8K views,3 months ago,https://www.youtube.com/watch?v=CKrM5ouILBg,https://i.ytimg.com/vi/CKrM5ouILBg/hqdefault.jpg
88,🚀 Do This to Learn DSA and Get a Job | *Free Resources Inside* | The Ultimate DSA Roadmap 📚,4.3K views,3 months ago,https://www.youtube.com/watch?v=VdLUuIeuXqM,https://i.ytimg.com/vi/VdLUuIeuXqM/hqdefault.jpg
89,"Sorting Algorithms Full Course | Bubble, Selection, Insertion Sort & More | DSA Free Videos Complete",9.7K views,3 months ago,https://www.youtube.com/watch?v=IsBMyMch0gw,https://i.ytimg.com/vi/IsBMyMch0gw/hqdefault.jpg
90,"IIT Grads reveal TOP PLACEMENT SECRETS 🤯 | Advice, Get Job in 2024, Salary, Roadmap, Life at IIT",11K views,4 months ago,https://www.youtube.com/watch?v=HqqF_4yORKU,https://i.ytimg.com/vi/HqqF_4yORKU/hqdefault.jpg
91,I Went to the House of a Recent IIT BOMBAY Grad & AI Researcher at Sprinklr | House Invasion Ep-1🚀,16K views,4 months ago,https://www.youtube.com/watch?v=xvBlkjtmvBc,https://i.ytimg.com/vi/xvBlkjtmvBc/hqdefault.jpg
92,Time and Space Complexity explained in literally 5 minutes | Big O | Concepts made simple ep -1,8.7K views,4 months ago,https://www.youtube.com/watch?v=jOMxKsUd6e0,https://i.ytimg.com/vi/jOMxKsUd6e0/hqdefault.jpg
